Filename,Background_file,Start_times,End_times,Freq_lows,Freq_highs
scape0.wav,rain_litebirds.wav,"[3.499, 3.521, 3.58]","[5.0, 5.0, 5.0]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1.wav,rain_litebirds.wav,"[3.666, 3.67]","[4.993, 5.0]","[1000, 1000]","[9116, 9116]"
scape10.wav,whiteNoise_60.wav,"[0.107, 2.689]","[1.601, 4.25]","[1000, 1000]","[9116, 9116]"
scape100.wav,windy_60.wav,[1.269],[2.695],[1000],[9116]
scape1000.wav,backgroundbirds.wav,[1.75],[3.102],[1000],[9116]
scape1001.wav,pinkNoise_60.wav,"[1.106, 1.898, 3.455]","[2.495, 3.271, 5.0]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1002.wav,rain_litebirds.wav,"[1.568, 3.54]","[3.133, 5.0]","[1000, 1000]","[9116, 9116]"
scape1003.wav,whiteNoise_60.wav,[1.978],[3.509],[1000],[9116]
scape1004.wav,backgroundbirds2.wav,"[1.58, 1.669, 2.444]","[2.933, 3.257, 4.04]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1005.wav,brownianNoise_60.wav,"[3.473, 3.623]","[5.0, 5.0]","[1000, 1000]","[9116, 9116]"
scape1006.wav,rain.wav,"[0.522, 1.154, 3.57]","[2.033, 2.75, 5.0]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1007.wav,windy_60.wav,[],[],[],[]
scape1008.wav,rain_litebirds.wav,"[0.931, 3.097, 3.423]","[2.509, 4.542, 5.0]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1009.wav,rain_litebirds.wav,"[0.544, 0.857, 1.199]","[2.1, 2.443, 2.518]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape101.wav,windy_60.wav,[3.657],[4.988],[1000],[9116]
scape1010.wav,rain_litebirds.wav,"[0.184, 2.387, 2.501]","[1.609, 3.841, 4.059]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1011.wav,backgroundbirds.wav,"[0.34, 1.78, 3.453]","[1.731, 3.124, 5.0]","[1000, 1000, 1000]","[9116, 9116, 9116]"
scape1012.wav,pinkNoise_60.wav,"[0.751, 2.145]","[2.229, 3.612]","[1000, 1000]","[9116, 9116]"
scape1013.wav,backgroundbirds2.wav,"[2.295, 3.147, 3.254]","[3.754, 4.708, 4.731]","[1000, 1000, 1000]","[9116, 9116, 9116]"
